day,BI_mean,BI_std,NDSI_mean,NDSI_std,SC_mean,SC_std,BI_day,BI_night,NDSI_day,NDSI_night,SC_day,SC_night,sensor_name,rms_db,Zona,Plataforma,Tipo de cobertura,Apertura vegetación,Categoria experimental
2024-02-13,129.38620058419448,26.823687238595916,0.941561446006257,0.08720482620972132,0.43942606135775825,0.17878637334323053,109.88486242711589,148.88753874127306,0.9046468907766219,0.9784760012358924,0.3478524973989221,0.5309996253165944,G6370,-46.42719095937123,Norte,J,bosque denso,cerrado,intervencion
2024-02-15,107.34271987799355,33.22486933317655,0.8981897319452076,0.11218388078943158,0.29213048670092423,0.1398003434370777,90.38261903675102,124.30282071923608,0.8631094890339882,0.9332699748564272,0.24057307768620464,0.3436878957156438,G6370,-43.41421895199984,Norte,J,bosque denso,cerrado,intervencion
2024-02-18,115.81262560977957,25.175883531088793,0.850875077137998,0.1285865114152399,0.32280903805717037,0.11069702471173186,98.4153319563689,133.20991926319024,0.8202969192431732,0.881453235032823,0.24315390630758824,0.40246416980675254,G6370,-44.24749005401687,Norte,J,bosque denso,cerrado,intervencion
2024-02-19,122.84662672112186,25.384650525911457,0.7529396707967474,0.16447973852346393,0.33946393031238276,0.12749749084874948,104.051639063236,141.64161437900773,0.6907695781429183,0.8151097634505763,0.28720236924612585,0.3917254913786397,G6370,-39.91273025979091,Norte,J,bosque denso,cerrado,intervencion
2024-02-20,122.13939698520927,23.290021830390437,0.7466203827080312,0.10177065212597063,0.32872166456744895,0.12942742509527516,103.61423142801134,140.66456254240723,0.787290007322558,0.7059507580935045,0.271087632213566,0.3863556969213319,G6370,-44.547585070129365,Norte,J,bosque denso,cerrado,intervencion
2024-02-21,115.15545892493249,26.68138186409798,0.599770011815481,0.20286939763187906,0.30203556010653126,0.11932490841042953,94.52624177849528,135.7846760713697,0.673425526666812,0.5261144969641498,0.24679435912093328,0.35727676109212925,G6370,-45.94605122391044,Norte,J,bosque denso,cerrado,intervencion
2024-02-22,111.47876204753163,34.10430860512024,0.6573131157475691,0.19742970922674768,0.3003110986702235,0.1491032738793126,85.44667542152833,137.51084867353492,0.766216226787344,0.5484100047077943,0.23020653330151727,0.3704156640389298,G6370,-47.50959538795613,Norte,J,bosque denso,cerrado,intervencion
2024-02-23,107.68675442548705,30.510678518204127,0.7243479338535345,0.15894272992697409,0.3091523960654163,0.1316567135466786,93.183822016505,122.18968683446911,0.7407277591892126,0.7079681085178562,0.2409251081876482,0.37737968394318444,G6370,-44.05096682906646,Norte,J,bosque denso,cerrado,intervencion
2024-02-24,120.21671401601611,26.673197975666234,0.8062027765783893,0.11712072304778427,0.29728968563013386,0.15043843972734894,100.31652122582587,140.11690680620637,0.7659120822160266,0.8464934709407522,0.2039038164971996,0.3906755547630681,G6370,-47.96839598856006,Norte,J,bosque denso,cerrado,intervencion
2024-02-25,123.21314730371148,28.0312776809906,0.8818840075000782,0.13275570051697191,0.3406316292522269,0.15192282127515339,101.04253146574581,145.38376314167715,0.8554152183126752,0.9083527966874813,0.25181037494271213,0.42945288356174155,G6370,-46.89691878175046,Norte,J,bosque denso,cerrado,intervencion
2024-02-26,113.19515175279815,24.90892086988269,0.8922022746555301,0.10791793931910573,0.34065102261473656,0.1324894097546917,99.95543958236105,126.43486392323528,0.8513576870246459,0.9330468622864146,0.27927181328995626,0.40203023193951687,G6370,-43.43358547802816,Norte,J,bosque denso,cerrado,intervencion
2024-02-28,121.07188485411677,26.22129540973243,0.9484417357947433,0.06505469831484133,0.3442069458611614,0.14543891214421176,100.00073703243282,142.14303267580073,0.9267384686069647,0.9701450029825218,0.22825721811847743,0.46015667360384543,G6370,-49.03143438422079,Norte,J,bosque denso,cerrado,intervencion
2024-03-01,110.18603004107895,27.794600369070295,0.9277467749092897,0.07792708382212496,0.3728372121515131,0.1638956484066793,104.99944665069137,115.37261343146656,0.9194225579318781,0.9360709918867013,0.2695324848473194,0.47614193945570676,G6370,-41.62516143826685,Norte,J,bosque denso,cerrado,intervencion
2024-02-08,118.87746083740721,28.095589046426607,0.9761564917108654,0.036590767630709446,0.3053000133769452,0.18493257236523591,98.40840701736045,140.23647351919516,0.9753060985421457,0.9770438584956164,0.18750336880006033,0.42821825119630325,G6371,-44.28018849972802,Sur,B,vegetación secundaria,semiabierta,intervencion
2024-02-09,114.7547044459603,29.641708624851045,0.9544121262358649,0.056121419828060674,0.3146052567247417,0.16610467467266002,95.38982071691069,133.31271801963283,0.9615117762887566,0.9476082949351771,0.2222866118277004,0.4030772914177396,G6371,-39.229218467224,Sur,B,vegetación secundaria,semiabierta,intervencion
2024-02-11,107.37517189169523,22.55401766200957,0.9380452672390658,0.08292053219906595,0.2589838431620715,0.1608534942855786,104.1506850032988,110.59965878009166,0.9753888659843626,0.900701668493769,0.12715501229375292,0.3908126740303901,G6371,-36.3995053697238,Sur,B,vegetación secundaria,semiabierta,intervencion
2024-02-12,109.11494535392377,23.273021060976568,0.9725829591634831,0.0446418490286092,0.2525060292493704,0.1871419834664169,93.2566147504726,124.31251218223117,0.9792827531788716,0.9661623232320693,0.08856503311516996,0.4096161505446457,G6371,-39.8837561017716,Sur,B,vegetación secundaria,semiabierta,intervencion
2024-02-13,108.81518508833437,25.196641934119402,0.9660643995762395,0.033611448542811256,0.26954783564975665,0.16517831939827907,88.64998709128177,128.98038308538696,0.9614236500359185,0.9707051491165605,0.1271169903773959,0.41197868092211737,G6371,-41.37034096548848,Sur,B,vegetación secundaria,semiabierta,intervencion
